"","CD8 T cells","CD4 T cells","NK cells","Plasma cells","Platelets","CD14 Monocytes"
"ribosome biogenesis",5.5678530441875,5.73577443287104,3.37067263710778,NA,NA,NA
"ribonucleoprotein complex biogenesis",5.50421168811981,6.25429623446629,3.32128463410701,NA,NA,NA
"RNA processing",5.40401667375014,6.752694626822,3.18160909484247,NA,1.8700201163787,NA
"rRNA metabolic process",5.08504230900296,5.14796723216666,NA,NA,NA,NA
"rRNA processing",5.03820171625805,5.11946298388759,3.08399776851409,NA,NA,NA
"translation",4.81283413546364,5.3021492589855,3.07810198159479,NA,NA,NA
"antigen receptor-mediated signaling pathway",-4.39597330010502,NA,NA,-3.32637784178106,NA,NA
"immune response-activating cell surface receptor signaling pathway",-4.1459070516671,NA,NA,-2.90479001230916,NA,NA
"immune response-regulating cell surface receptor signaling pathway",-4.14562820879623,NA,NA,-2.82872153105302,NA,NA
"mRNA metabolic process",NA,5.4099050183765,NA,NA,1.71765424429286,NA
"mRNA processing",NA,5.25741176047317,NA,NA,1.78288507849734,NA
"RNA splicing",NA,5.13722833625261,NA,NA,1.66943671457182,NA
"tRNA metabolic process",NA,4.82594201632102,3.36544117800875,NA,2.03059055962055,NA
"tRNA aminoacylation for protein translation",NA,NA,3.41206332620798,2.52141997655242,NA,NA
"antimicrobial humoral response",NA,NA,NA,-2.59673663285576,NA,-3.87575257394343
