CD4_T_IFN_I_Response,CD4_T_CD4_Tr1_Regulatory,CD4_T_Immune_Checkpoint,CD8_T_IFN_I_Response,CD8_T_Cytotoxic_Effector,CD8_T_Immune_Checkpoint,NK_IFN_I_Response,NK_Cytotoxic_Effector,NK_Immune_Checkpoint,GammaDelta_T_Cytotoxic_Effector,GammaDelta_T_Antigen_Presentation,B_Humoral_Bcell,B_Breg_Regulatory,B_Antigen_Presentation,Plasma_Humoral_Bcell,Mono_CD14_Inflammatory_Response,Mono_CD14_Myeloid_Suppressive,Mono_CD14_Antigen_Presentation,Mono_CD14_Fc_Opsonophagocytosis,Mono_CD16_Inflammatory_Response,Mono_CD16_Myeloid_Suppressive,Mono_CD16_Fc_Opsonophagocytosis,DC_Antigen_Presentation,DC_IFN_I_Response,comp_B,comp_CD4_T,comp_CD8_T,comp_DC,comp_GammaDelta_T,comp_Mono_CD14,comp_Mono_CD16,comp_Plasma,comp_Platelet,comp_Proliferating,comp_Unknown,comp_HSPC,comp_NK,true_stage,expected_stage
-0.031449469061228426,0.0,-0.22357268121373125,-0.030333592771147163,0.0,-0.25220683927282805,-0.021424769055445873,0.0,-0.24512597427480767,0.0,0.0,0.0,0.0,0.0,-0.021166467600660877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014490653257905458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09636623358477608,-0.12268670199467088,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09751449595544845,0.0,0.07346898699064433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04597133522666699,0.0,0.0,0.0,0.045919105105009496,0.0,0.0,0.03902258391353153,0.192257345887125,0.06730838177330387,0.025160857288467953,0.259668474850747,0.09488266808580983,0.0,0.0,0.0,2,1.9999976171639562
0.0,0.0,-0.3402610499828622,0.0,0.0,-0.3627329971708181,0.22667995609747615,0.1615794243826239,-0.3867044767114617,0.0,0.0,0.0,0.0,0.09745306202548651,0.0,0.3148575966848643,0.0,0.0,0.0,0.23724405455056474,-0.006404941135172256,0.0,0.0,0.0,-0.0005340108940055847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9999999999338975
0.0,0.0,-0.12669939853381346,0.0,0.0,-0.1794500620565356,0.0,0.0,-0.15434814818492334,0.0,-0.029565477417666065,0.0,0.0,0.0,0.0,0.0,-0.03668137587368155,0.0,0.0,0.0,-0.027426256774401605,0.0,0.0,0.0,0.0,-0.0259225612130336,0.0,0.0,0.0,-0.04168179983532413,0.0,-0.216718327899927,-0.2203299742978954,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,0.07726173332351428,0.0,0.01746380350268381,0.10632022516745816,0.0,0.040140111308082926,0.10387200907730539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011779648294873657,0.0,0.0,0.0,0.0,0.0,0.0,0.04368623549080473,0.0,0.28121208260652736,0.186406876592478,0.07303378232897638,0.0,0.0,0.0,2,1.9999998897799065
0.0,0.0,-0.14624733118306327,0.0,0.0,-0.12691133854717285,0.0,0.0,-0.10166624005487888,0.0,0.0,0.0,0.01908635710316112,0.0,0.0,0.0,0.0,-0.0024765532937299057,0.0,0.0,0.0,0.029162155906188304,0.0,0.0,0.0,0.04696738685080844,0.0,0.0,0.0,0.08248621593494607,0.0,0.07041100363373685,0.07036496177213311,0.0,0.0,0.0,0.0,1,1.0000000002093308
0.0,0.0,-0.12194825038356695,0.0,0.0,0.0,-0.13245852711314587,0.0,0.0,-0.08020960966196805,0.0,0.0,0.0,0.0,0.0,0.0,-0.09261034720187106,0.0,0.0,-0.0522632573990027,0.0,0.0,0.0,-0.1130559761538635,0.0,0.0,-0.16789158510806712,0.0,-0.07430951834473486,-0.11569600321007786,-0.10838030751086461,0.0,0.0,0.0,0.0,0.0,0.0,0,3.907985046680551e-14
0.0,0.0,0.043619468325104514,0.0,0.0,0.06799679075872465,0.0,0.0,0.07005573416406877,0.008400795182288645,0.0,0.0,0.0,0.0,0.0,0.013937782467131411,0.0,0.0,0.0,0.0,0.0,0.0,0.015262805342887795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5644233808146654,0.11726002547855395,0.03454791590830189,0.005671919471071213,0.0,0.0,2,2.0
-0.09031478057493067,0.0,0.08617264728529808,-0.048968623078524384,0.0,0.07667974831883091,-0.08689790225573842,0.0,0.10577726089780488,0.0,0.0,0.0,0.0,0.0,0.0,-0.044713622868062644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0639361659292317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10322992472443071,0.11060797428250922,0.0,0.0,0.0,0.0,1,0.9999999934407263
0.0,0.0,0.20643681243811932,0.0,0.0,0.1938763193017945,0.0,0.023611234842056295,0.179897082501597,0.04277656002869333,0.0,0.0,0.0,0.0,0.0,0.06663388770027621,0.0,0.0,0.03381930224105975,0.0,0.0,0.0,0.0,0.0,0.019078147300764813,0.0,0.0,0.0,0.020754361732589252,0.15429290716291175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.9999999973370641
0.0,0.0,0.0,0.06514495350014783,0.0,-0.066272182055543,0.03207678633497428,0.0,0.0,0.0,0.03578673416740889,0.0,0.0,0.0,-0.08106411367471736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05799219955091671,0.0,0.0693248512966195,0.0,0.0,-0.08283582624478394,-0.13915894024397263,0.0,0.0,0.050182155133024396,0.0,1,0.9999999998512764
-0.031160754340914032,0.0,-0.1854773882414092,0.0,-0.04495875615347801,-0.18166902338866914,0.0,-0.0180005906120444,-0.24529627069029067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0328960611209469,0.0,-0.05226948272485624,-0.23143973142663798,-0.035655323387955185,0.0,0.0,0.0,0,0.0
0.0,0.0,0.11897274278302467,0.0,0.0,0.17995913503843514,0.0,0.0,0.18160178341325933,-0.03777317393315971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03036971034372925,0.016794717977417904,0.0,0.0,0.0,0.0,-0.04782856000677399,-0.03595283105531031,0.4340278260235973,0.16174468068821046,0.0,0.0,0.0,0.0,2,1.9999999926721732
0.0,0.0,0.04607787340487719,0.0,0.0,0.07742544703808273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013490554492620772,-0.039294626407180025,0.0,0.0,-0.030407425504751145,0.0,0.0,0.021974958483087562,0.0,0.0,0.0,0.010957047916596812,0.0,0.0,0.0,-0.07182426260738824,0.0,-0.11876897371085181,0.05852711313205264,0.0,0.0,0.0,0.0,1,0.9999999793391067
0.152563932065916,0.0,0.0,0.0,-0.032215439285162906,0.0,0.0,0.0,0.0,-0.07846472013824746,-0.017426478441593583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059503859699691734,0.0,0.0,0.0,0.0,-0.007518396730223229,0.0,0.0,0.0,-0.04887162160337866,-0.03527266559111701,0.0,-0.6137901436187272,-0.3183239632874969,0.0,0.0,0.0,0.0,0,2.575747881650159e-08
0.0,0.0,0.2567988313914481,0.0,0.0,0.23509521283727375,0.0,0.0,0.2658872661453363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008240464902232736,0.0,0.0,0.0,0.0,0.0,0.0,0.003229560925525886,0.0,0.0,0.0023860380383106776,0.009311461273671669,0.0,0.0,0.08440935212616148,0.05780815750727322,0.025426691172000155,0.0,0.0,0.0,2,1.9999999999944262
0.0,0.0,0.13237783836552316,0.0,0.0,0.11403652429492597,0.0,0.0,0.14125194694634435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023045489728850697,0.0,0.0,-0.050642261345536184,0.0,0.0,0.0,0.0,0.0,0.0,-0.032205172523166826,0.0,0.0,-0.09189624918978753,0.0,-0.15240295534819934,-0.06212241883485642,0.0,0.0,-0.03417514472054888,0.0,1,1.0000000000030493
